ID,Тип,Описание,Локация,Цена,Валюта
4,Дом,"Дом в пригороде, 200 кв.м, сад, гараж на 2 машины.","Подмосковье, Улица Ленина, д. 12, кв. 1",12000000,RUB
5,Квартира,"Трехкомнатная квартира в центре, вид на парк.","Москва, Проезд Мира, д. 3, кв. 45",8500000,RUB
6,Квартира,"Однокомнатная квартира, хороший район, рядом метро.","Москва, Бульвар Космонавтов, д. 8, кв. 21",5500000,RUB
7,Офис,"Офисное помещение, 150 кв.м, центральный район, парковка.","Санкт-Петербург, Проспект Победы, д. 10, офис 56",15000000,RUB
8,Дом,"Дачный дом, 80 кв.м, рядом с лесом, свежий воздух.","Ленинградская обл., Набережная Реки Фонтанки, д. 33",4500000,RUB
9,Дом,"Современный коттедж, 300 кв.м, бассейн, ландшафтный дизайн.","Московская обл., Рублевка, ул. Заречная, д. 7",30000000,RUB
10,Квартира,"Студия в новостройке, удобное расположение, все удобства.","Москва, ул. Восточная, д. 15, кв. 28",7000000,RUB
11,Офис,"Офисное здание, 250 кв.м, рядом с деловым центром.","Санкт-Петербург, ул. Приморская, д. 12, офис 101",18000000,RUB
12,Квартира,"Двухкомнатная квартира в спальном районе, тихо и спокойно.","Москва, ул. Северная, д. 22, кв. 56",6500000,RUB
13,Дом,"Кирпичный дом, 150 кв.м, большой участок, гараж.","Московская обл., п. Солнечный, ул. Лесная, д. 5",10000000,RUB
14,Дом,"Загородный дом, 200 кв.м, рядом озеро, большая терраса.","Подмосковье, д. Лесное, ул. Озерная, д. 19",12500000,RUB
15,Офис,"Офис в бизнес-центре, конференц-зал, ресепшн.","Москва, ул. Бизнес-центр, д. 3, офис 408",20000000,RUB
16,Квартира,"Четырехкомнатная квартира, просторная и светлая.","Москва, ул. Западная, д. 14, кв. 87",9000000,RUB
17,Квартира,"Двухуровневая квартира, дизайнерский ремонт, панорамные окна.","Санкт-Петербург, Крестовский остров, ул. Морская, д. 21, кв. 112",16000000,RUB
18,Дом,"Дом в стиле шале, 250 кв.м, зона барбекю, камин в гостиной.","Сочи, ул. Горная, д. 8",22000000,RUB